pokedex_number,generation,name,type1,type2,classification,abilities,percentage_male,capture_rate,base_egg_steps,base_happiness,height_m,weight_kg,base_total,hp,attack,defense,sp_attack,sp_defense,speed,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water
11,1,Metapod,bug,,Cocoon Pokémon,['Shed Skin'],50.0,120,3840,70,0.7,9.9,205,50,20,55,25,25,30,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0
12,1,Butterfree,bug,flying,Butterfly Pokémon,"['Compoundeyes', 'Tinted Lens']",50.0,45,3840,70,1.1,32.0,395,60,45,50,90,80,70,0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0
13,1,Weedle,bug,poison,Hairy Pokémon,"['Shield Dust', 'Run Away']",50.0,255,3840,70,0.3,3.2,195,40,35,30,20,20,50,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
14,1,Kakuna,bug,poison,Cocoon Pokémon,['Shed Skin'],50.0,120,3840,70,0.6,10.0,205,45,25,50,25,25,35,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
15,1,Beedrill,bug,poison,Poison Bee Pokémon,"['Swarm', 'Sniper']",50.0,45,3840,70,1.0,29.5,495,65,150,40,15,80,145,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
16,1,Pidgey,normal,flying,Tiny Bird Pokémon,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",50.0,255,3840,70,0.3,1.8,251,40,45,40,35,35,56,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
17,1,Pidgeotto,normal,flying,Bird Pokémon,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",50.0,120,3840,70,1.1,30.0,349,63,60,55,50,50,71,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
18,1,Pidgeot,normal,flying,Bird Pokémon,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",50.0,45,3840,70,1.5,39.5,579,83,80,80,135,80,121,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
19,1,Rattata,normal,dark,Mouse Pokémon,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",50.0,255,3840,70,,,253,30,56,35,25,35,72,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,1,Raticate,normal,dark,Mouse Pokémon,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",50.0,127,3840,70,,,413,75,71,70,40,80,77,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,1,Spearow,normal,flying,Tiny Bird Pokémon,"['Keen Eye', 'Sniper']",50.0,255,3840,70,0.3,2.0,262,40,60,30,31,31,70,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
22,1,Fearow,normal,flying,Beak Pokémon,"['Keen Eye', 'Sniper']",50.0,90,3840,70,1.2,38.0,442,65,90,65,61,61,100,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
23,1,Ekans,poison,,Snake Pokémon,"['Intimidate', 'Shed Skin', 'Unnerve']",50.0,255,5120,70,2.0,6.9,288,35,60,44,40,54,55,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
24,1,Arbok,poison,,Cobra Pokémon,"['Intimidate', 'Shed Skin', 'Unnerve']",50.0,90,5120,70,3.5,65.0,448,60,95,69,65,79,80,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
25,1,Pikachu,electric,,Mouse Pokémon,"['Static', 'Lightningrod']",50.0,190,2560,70,0.4,6.0,320,35,55,40,50,50,90,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
26,1,Raichu,electric,electric,Mouse Pokémon,"['Static', 'Lightningrod', 'Surge Surfer']",50.0,75,2560,70,,,485,60,85,50,95,85,110,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
27,1,Sandshrew,ground,ice,Mouse Pokémon,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",50.0,255,5120,70,,,300,50,75,90,10,35,40,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
28,1,Sandslash,ground,ice,Mouse Pokémon,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",50.0,90,5120,70,,,450,75,100,120,25,65,65,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
29,1,Nidoran♀,poison,,Poison Pin Pokémon,"['Poison Point', 'Rivalry', 'Hustle']",0.0,235,5120,70,0.4,7.0,275,55,47,52,40,40,41,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
30,1,Nidorina,poison,,Poison Pin Pokémon,"['Poison Point', 'Rivalry', 'Hustle']",0.0,120,5120,70,0.8,20.0,365,70,62,67,55,55,56,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
31,1,Nidoqueen,poison,ground,Drill Pokémon,"['Poison Point', 'Rivalry', 'Sheer Force']",0.0,45,5120,70,1.3,60.0,505,90,92,87,75,85,76,0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0
32,1,Nidoran♂,poison,,Poison Pin Pokémon,"['Poison Point', 'Rivalry', 'Hustle']",100.0,235,5120,70,0.5,9.0,273,46,57,40,40,40,50,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
33,1,Nidorino,poison,,Poison Pin Pokémon,"['Poison Point', 'Rivalry', 'Hustle']",100.0,120,5120,70,0.9,19.5,365,61,72,57,55,55,65,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
34,1,Nidoking,poison,ground,Drill Pokémon,"['Poison Point', 'Rivalry', 'Sheer Force']",100.0,45,5120,70,1.4,62.0,505,81,102,77,85,75,85,0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0
35,1,Clefairy,fairy,,Fairy Pokémon,"['Cute Charm', 'Magic Guard', 'Friend Guard']",24.6,150,2560,140,0.6,7.5,323,70,45,48,60,65,35,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
36,1,Clefable,fairy,,Fairy Pokémon,"['Cute Charm', 'Magic Guard', 'Unaware']",24.6,25,2560,140,1.3,40.0,483,95,70,73,95,90,60,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
37,1,Vulpix,fire,ice,Fox Pokémon,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",24.6,190,5120,70,,,299,38,41,40,50,65,65,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
38,1,Ninetales,fire,ice,Fox Pokémon,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",24.6,75,5120,70,,,505,73,67,75,81,100,109,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
39,1,Jigglypuff,normal,fairy,Balloon Pokémon,"['Cute Charm', 'Competitive', 'Friend Guard']",24.6,170,2560,70,0.5,5.5,270,115,45,20,45,25,20,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
40,1,Wigglytuff,normal,fairy,Balloon Pokémon,"['Cute Charm', 'Competitive', 'Frisk']",24.6,50,2560,70,1.0,12.0,435,140,70,45,85,50,45,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
41,1,Zubat,poison,flying,Bat Pokémon,"['Inner Focus', 'Infiltrator']",50.0,255,3840,70,0.8,7.5,245,40,45,35,30,40,55,0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0
42,1,Golbat,poison,flying,Bat Pokémon,"['Inner Focus', 'Infiltrator']",50.0,90,3840,70,1.6,55.0,455,75,80,70,65,75,90,0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0
43,1,Oddish,grass,poison,Weed Pokémon,"['Chlorophyll', 'Run Away']",50.0,255,5120,70,0.5,5.4,320,45,50,55,75,65,30,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
44,1,Gloom,grass,poison,Weed Pokémon,"['Chlorophyll', 'Stench']",50.0,120,5120,70,0.8,8.6,395,60,65,70,85,75,40,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
45,1,Vileplume,grass,poison,Flower Pokémon,"['Chlorophyll', 'Effect Spore']",50.0,45,5120,70,1.2,18.6,490,75,80,85,110,90,50,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
46,1,Paras,bug,grass,Mushroom Pokémon,"['Effect Spore', 'Dry Skin', 'Damp']",50.0,190,5120,70,0.3,5.4,285,35,70,55,45,55,25,2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5
47,1,Parasect,bug,grass,Mushroom Pokémon,"['Effect Spore', 'Dry Skin', 'Damp']",50.0,75,5120,70,1.0,29.5,405,60,95,80,60,80,30,2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5
48,1,Venonat,bug,poison,Insect Pokémon,"['Compoundeyes', 'Tinted Lens', 'Run Away']",50.0,190,5120,70,1.0,30.0,305,60,55,50,40,55,45,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
49,1,Venomoth,bug,poison,Poison Moth Pokémon,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",50.0,75,5120,70,1.5,12.5,450,70,65,60,90,75,90,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
50,1,Diglett,ground,ground,Mole Pokémon,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",50.0,255,5120,70,,,265,10,55,30,35,45,90,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
51,1,Dugtrio,ground,ground,Mole Pokémon,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",50.0,50,5120,70,,,425,35,100,60,50,70,110,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
52,1,Meowth,normal,dark,Scratch Cat Pokémon,"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",50.0,255,5120,70,,,290,40,35,35,50,40,90,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,1,Persian,normal,dark,Classy Cat Pokémon,"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",50.0,90,5120,70,,,440,65,60,60,75,65,115,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
54,1,Psyduck,water,,Duck Pokémon,"['Damp', 'Cloud Nine', 'Swift Swim']",50.0,190,5120,70,0.8,19.6,320,50,52,48,65,50,55,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
55,1,Golduck,water,,Duck Pokémon,"['Damp', 'Cloud Nine', 'Swift Swim']",50.0,75,5120,70,1.7,76.6,500,80,82,78,95,80,85,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
56,1,Mankey,fighting,,Pig Monkey Pokémon,"['Vital Spirit', 'Anger Point', 'Defiant']",50.0,190,5120,70,0.5,28.0,305,40,80,35,35,45,70,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
57,1,Primeape,fighting,,Pig Monkey Pokémon,"['Vital Spirit', 'Anger Point', 'Defiant']",50.0,75,5120,70,1.0,32.0,455,65,105,60,60,70,95,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
58,1,Growlithe,fire,,Puppy Pokémon,"['Intimidate', 'Flash Fire', 'Justified']",75.4,190,5120,70,0.7,19.0,350,55,70,45,70,50,60,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
59,1,Arcanine,fire,,Legendary Pokémon,"['Intimidate', 'Flash Fire', 'Justified']",75.4,75,5120,70,1.9,155.0,555,90,110,80,100,80,95,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
60,1,Poliwag,water,,Tadpole Pokémon,"['Water Absorb', 'Damp', 'Swift Swim']",50.0,255,5120,70,0.6,12.4,300,40,50,40,40,40,90,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
61,1,Poliwhirl,water,,Tadpole Pokémon,"['Water Absorb', 'Damp', 'Swift Swim']",50.0,120,5120,70,1.0,20.0,385,65,65,65,50,50,90,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
62,1,Poliwrath,water,fighting,Tadpole Pokémon,"['Water Absorb', 'Damp', 'Swift Swim']",50.0,45,5120,70,1.3,54.0,510,90,95,95,70,90,70,0.5,0.5,1.0,2.0,2.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,1.0,2.0,0.5,0.5,0.5
63,1,Abra,psychic,,Psi Pokémon,"['Synchronize', 'Inner Focus', 'Magic Guard']",75.4,200,5120,70,0.9,19.5,310,25,20,15,105,55,90,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
64,1,Kadabra,psychic,,Psi Pokémon,"['Synchronize', 'Inner Focus', 'Magic Guard']",75.4,100,5120,70,1.3,56.5,400,40,35,30,120,70,105,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
65,1,Alakazam,psychic,,Psi Pokémon,"['Synchronize', 'Inner Focus', 'Magic Guard']",75.4,50,5120,70,1.5,48.0,600,55,50,65,175,105,150,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
66,1,Machop,fighting,,Superpower Pokémon,"['Guts', 'No Guard', 'Steadfast']",75.4,180,5120,70,0.8,19.5,305,70,80,50,35,35,35,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
67,1,Machoke,fighting,,Superpower Pokémon,"['Guts', 'No Guard', 'Steadfast']",75.4,90,5120,70,1.5,70.5,405,80,100,70,50,60,45,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
68,1,Machamp,fighting,,Superpower Pokémon,"['Guts', 'No Guard', 'Steadfast']",75.4,45,5120,70,1.6,130.0,505,90,130,80,65,85,55,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
69,1,Bellsprout,grass,poison,Flower Pokémon,"['Chlorophyll', 'Gluttony']",50.0,255,5120,70,0.7,4.0,300,50,75,35,70,30,40,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
70,1,Weepinbell,grass,poison,Flycatcher Pokémon,"['Chlorophyll', 'Gluttony']",50.0,120,5120,70,1.0,6.4,390,65,90,50,85,45,55,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
71,1,Victreebel,grass,poison,Flycatcher Pokémon,"['Chlorophyll', 'Gluttony']",50.0,45,5120,70,1.7,15.5,490,80,105,65,100,70,70,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
72,1,Tentacool,water,poison,Jellyfish Pokémon,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",50.0,190,5120,70,0.9,45.5,335,40,40,35,50,100,70,0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5
73,1,Tentacruel,water,poison,Jellyfish Pokémon,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",50.0,60,5120,70,1.6,55.0,515,80,70,65,80,120,100,0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5
74,1,Geodude,rock,ground,Rock Pokémon,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",50.0,255,3840,70,,,300,40,80,100,30,30,20,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
75,1,Graveler,rock,ground,Rock Pokémon,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",50.0,120,3840,70,,,390,55,95,115,45,45,35,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
76,1,Golem,rock,ground,Megaton Pokémon,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",50.0,45,3840,70,,,495,80,120,130,55,65,45,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
77,1,Ponyta,fire,,Fire Horse Pokémon,"['Run Away', 'Flash Fire', 'Flame Body']",50.0,190,5120,70,1.0,30.0,410,50,85,55,65,65,90,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
78,1,Rapidash,fire,,Fire Horse Pokémon,"['Run Away', 'Flash Fire', 'Flame Body']",50.0,60,5120,70,1.7,95.0,500,65,100,70,80,80,105,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
79,1,Slowpoke,water,psychic,Dopey Pokémon,"['Oblivious', 'Own Tempo', 'Regenerator']",50.0,190,5120,70,1.2,36.0,315,90,65,65,40,40,15,2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5
80,1,Slowbro,water,psychic,Hermit Crab Pokémon,"['Oblivious', 'Own Tempo', 'Regenerator']",50.0,75,5120,70,1.6,78.5,590,95,75,180,130,80,30,2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5
81,1,Magnemite,electric,steel,Magnet Pokémon,"['Magnet Pull', 'Sturdy', 'Analytic']",,190,5120,70,0.3,6.0,325,25,35,70,95,55,45,0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0
82,1,Magneton,electric,steel,Magnet Pokémon,"['Magnet Pull', 'Sturdy', 'Analytic']",,60,5120,70,1.0,60.0,465,50,60,95,120,70,70,0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0
83,1,Farfetch'd,normal,flying,Wild Duck Pokémon,"['Keen Eye', 'Inner Focus', 'Defiant']",50.0,45,5120,70,0.8,15.0,377,52,90,55,58,62,60,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
84,1,Doduo,normal,flying,Twin Bird Pokémon,"['Run Away', 'Early Bird', 'Tangled Feet']",50.0,190,5120,70,1.4,39.2,310,35,85,45,35,35,75,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
85,1,Dodrio,normal,flying,Triple Bird Pokémon,"['Run Away', 'Early Bird', 'Tangled Feet']",50.0,45,5120,70,1.8,85.2,470,60,110,70,60,60,110,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
86,1,Seel,water,,Sea Lion Pokémon,"['Thick Fat', 'Hydration', 'Ice Body']",50.0,190,5120,70,1.1,90.0,325,65,45,55,45,70,45,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
87,1,Dewgong,water,ice,Sea Lion Pokémon,"['Thick Fat', 'Hydration', 'Ice Body']",50.0,75,5120,70,1.7,120.0,475,90,70,80,70,95,70,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5
